id;title;type;release_year;age_certification;genres;imdb_score;tmdb_popularity;tmdb_score
tm1074764;Shiny_Flakes: The Teenage Drug Lord;MOVIE;2021;;['documentation', 'crime'];7.300000;10.720000;10.720000
tm1074622;Cobra Kai - The Afterparty;MOVIE;2021;;[];0.000000;1.400000;1.400000
tm1074621;Bridgerton - The Afterparty;MOVIE;2021;;[];0.000000;0.000000;0.000000
tm1075596;Monster Hunter: Legends of the Guild;MOVIE;2021;PG-13;['fantasy', 'animation', 'action'];0.000000;16.280001;16.280001
tm1076198;Blue Dream: The Road to Wembley;MOVIE;2021;;['documentation', 'sport'];7.100000;4.840000;4.840000
tm1077013;Memories of a Murderer: The Nilsen Tapes;MOVIE;2021;R;['documentation', 'crime'];6.300000;5.426000;5.426000
tm1075698;Metal Lords;MOVIE;2022;R;['music', 'comedy', 'drama'];6.700000;123.401001;123.401001
tm1077201;Stuck Together;MOVIE;2021;;['comedy'];6.300000;15.493000;15.493000
tm1077038;Chhota Bheem: Journey to Petra;MOVIE;2011;G;['animation'];0.000000;0.000000;0.000000
tm1077037;Chhota Bheem & Krishna: Pataliputra- City of the Dead;MOVIE;2010;G;['animation'];0.000000;0.000000;0.000000
tm1075215;Aftermath;MOVIE;2021;;['horror', 'thriller', 'drama'];5.300000;46.057999;46.057999
tm107372;Manoranjan;MOVIE;1974;;['romance', 'drama', 'comedy'];6.500000;1.532000;1.532000
tm1079334;Bob Ross: Happy Accidents, Betrayal & Greed;MOVIE;2021;PG-13;['documentation'];6.900000;6.605000;6.605000
tm1080083;The Lost Daughter;MOVIE;2021;R;['drama'];6.700000;36.068001;36.068001
tm1079495;A Second Chance: Rivals!;MOVIE;2019;PG;['drama', 'family', 'sport'];4.600000;7.151000;7.151000
tm1080114;Hostage House;MOVIE;2021;;['thriller'];3.900000;4.731000;4.731000
tm1080406;Barbie: Big City, Big Dreams;MOVIE;2021;;['animation', 'music', 'family'];5.700000;105.000999;105.000999
tm1080252;7 Prisoners;MOVIE;2021;R;['drama', 'crime'];7.100000;95.706001;95.706001
tm1080697;Binti;MOVIE;2021;;['drama'];5.600000;1.921000;1.921000
tm1080554;Rudra: Secret of the Black Moon;MOVIE;2020;;[];0.000000;0.600000;0.600000
tm1080445;The Gray Man;MOVIE;2022;PG-13;['thriller', 'action'];6.600000;510.268005;510.268005
tm1080109;Quam's Money;MOVIE;2020;;['crime'];0.000000;1.910000;1.910000
tm10811;Heavy;MOVIE;1995;R;['drama', 'romance'];6.800000;3.308000;3.308000
tm1082515;Untold: Caitlyn Jenner;MOVIE;2021;R;['documentation', 'sport'];6.400000;4.431000;4.431000
tm1082359;Phil Wang: Philly Philly Wang Wang;MOVIE;2021;;['comedy'];6.100000;2.353000;2.353000
tm1082314;Untold: Malice at the Palace;MOVIE;2021;R;['crime', 'documentation', 'sport'];7.500000;8.490000;8.490000
tm1082795;Lokillo: Nothing's the Same;MOVIE;2021;;['comedy'];4.700000;34.521999;34.521999
tm1083068;Operation Hyacinth;MOVIE;2021;;['crime', 'drama', 'thriller'];6.700000;16.846001;16.846001
tm1082974;Count Me In;MOVIE;2021;;['documentation', 'music'];6.800000;4.044000;4.044000
